17:12:10,189 DEBUG main hibernate.SQL:109 - insert into geek (id, adrmail, genre, nom, prenom) values (default, ?, ?, ?, ?)
17:12:10,195 ERROR main spi.SqlExceptionHelper:146 - DEFAULT keyword cannot be used as column has no DEFAULT
17:13:58,248 DEBUG main hibernate.SQL:109 - insert into geek (id, adrmail, genre, nom, prenom) values (default, ?, ?, ?, ?)
17:13:58,264 ERROR main spi.SqlExceptionHelper:146 - DEFAULT keyword cannot be used as column has no DEFAULT
17:14:59,883 DEBUG main hibernate.SQL:109 - insert into geek (id, adrmail, genre, nom, prenom) values (default, ?, ?, ?, ?)
17:14:59,891 ERROR main spi.SqlExceptionHelper:146 - DEFAULT keyword cannot be used as column has no DEFAULT
17:15:14,235 DEBUG main hibernate.SQL:109 - insert into geek (id, adrmail, genre, nom, prenom) values (default, ?, ?, ?, ?)
17:15:14,251 ERROR main spi.SqlExceptionHelper:146 - DEFAULT keyword cannot be used as column has no DEFAULT
17:45:50,464 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_, (select Count(*) from audit join geek0_.geek on (audit.geek = geek.id) where geek.id = geek0_.id) as formula0_0_ from geek geek0_ where geek0_.id=?
17:45:50,569 ERROR main spi.SqlExceptionHelper:146 - unexpected token: SELECT
17:53:49,735 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_, (select Count(*) from audit join geek0_.geek on (audit.geek = geek.id) where geek.id = geek0_.id) as formula0_0_ from geek geek0_ where geek0_.id=?
17:53:49,846 ERROR main spi.SqlExceptionHelper:146 - unexpected token: SELECT
17:54:54,459 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_, (select Count(*) from audit join geek0_.geek on (audit.geek = geek.id) where geek.id = geek0_.id) as formula0_0_ from geek geek0_ where geek0_.id=?
17:54:54,569 ERROR main spi.SqlExceptionHelper:146 - unexpected token: SELECT
08:34:20,219 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_, (select Count(*) from audit join geek0_.geek on (audit.geek = geek.id) where geek.id = geek0_.id) as formula0_0_ from geek geek0_ where geek0_.id=?
08:34:20,324 ERROR main spi.SqlExceptionHelper:146 - unexpected token: SELECT
08:43:20,950 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_, (select Count(*) from audit join geek0_.geek on (audit.geek = geek.id) where geek.id = geek0_.id) as formula0_ from geek geek0_
08:43:21,076 ERROR main spi.SqlExceptionHelper:146 - unexpected token: SELECT
08:44:44,499 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
11:10:00,242 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
11:12:52,292 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
11:12:52,548 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ inner join centreinteretgeek listintere1_ on geek0_.id=listintere1_.idgeek inner join centreinteret centreinte2_ on listintere1_.idcentreinteret=centreinte2_.id where centreinte2_.nom=?
11:12:52,982 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
11:17:06,612 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
11:17:06,878 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ inner join centreinteretgeek listintere1_ on geek0_.id=listintere1_.idgeek inner join centreinteret centreinte2_ on listintere1_.idcentreinteret=centreinte2_.id where centreinte2_.nom=?
11:17:07,097 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ where geek0_.genre=?
11:17:07,315 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
11:22:08,918 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
11:22:09,637 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ inner join centreinteretgeek listintere1_ on geek0_.id=listintere1_.idgeek inner join centreinteret centreinte2_ on listintere1_.idcentreinteret=centreinte2_.id where centreinte2_.nom=?
11:22:09,855 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
11:22:10,089 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ where geek0_.genre=?
11:23:12,476 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
11:23:12,743 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ inner join centreinteretgeek listintere1_ on geek0_.id=listintere1_.idgeek inner join centreinteret centreinte2_ on listintere1_.idcentreinteret=centreinte2_.id where geek0_.genre=? and centreinte2_.nom=?
11:23:12,961 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ inner join centreinteretgeek listintere1_ on geek0_.id=listintere1_.idgeek inner join centreinteret centreinte2_ on listintere1_.idcentreinteret=centreinte2_.id where geek0_.genre=? and centreinte2_.nom=?
11:23:13,179 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ inner join centreinteretgeek listintere1_ on geek0_.id=listintere1_.idgeek inner join centreinteret centreinte2_ on listintere1_.idcentreinteret=centreinte2_.id where centreinte2_.nom=?
11:23:13,398 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
11:23:13,632 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ where geek0_.genre=?
